user_id,sex,weight,activity_date,calories,average_cadence,average_temp,distance,elev_high,elev_low,max_heartrate,max_speed,moving_time,total_elevation_gain,average_speed,variance_speed,std_speed,average_heartrate,variance_heartrate,std_heartrate
18933919,M,67,2018-04-29T08:57:42Z,0,84.3,23,11124.7,722.2,683.8,177,4.5,3172,40,3.45,0.27,0.52,157.48,122.28,11.06
18933919,M,67,2018-02-15T09:43:20Z,0,82.5,undefined,18008.5,439.8,235.4,undefined,7.3,5015,220.8,3.57,0.17,0.41,0,0,0
18933919,M,67,2017-11-26T08:14:00Z,2704.2,82.2,undefined,27668.9,675.1,235.4,undefined,6.6,9098,1030.8,3.13,0.21,0.46,0,0,0
18933919,M,67,2017-10-23T11:18:50Z,2612.3,81.7,undefined,29510.5,675.1,235.4,undefined,4.7,9189,439.6,3.28,0.16,0.4,0,0,0
18933919,M,67,2017-11-29T17:45:30Z,755.8,82.6,undefined,9165.9,238.6,236,undefined,5.8,2687,0,3.4,0.15,0.39,0,0,0
18933919,M,67,2018-05-29T07:17:32Z,0,80.6,22,7817.5,508.4,505,174,3.8,2699,2,2.94,0.12,0.34,159.15,12.37,3.52
18933919,M,67,2017-10-21T12:51:19Z,0,82.6,undefined,14275.2,424.9,235.3,undefined,11.3,4177,364.9,3.44,0.05,0.23,0,0,0
18933919,M,67,2018-05-22T07:09:11Z,0,83,20,15367.2,628,565,179,4.6,4312,66,3.59,0.07,0.26,159.32,51.51,7.18
18933919,M,67,2018-01-27T15:03:13Z,0,82.9,undefined,15030,303.3,249.5,undefined,5.5,4316,104.2,3.54,0.25,0.5,0,0,0
18933919,M,67,2017-12-09T14:54:36Z,0,82.3,undefined,13085.9,440.9,235.3,undefined,12.8,4160,247.9,3.14,0.26,0.51,0,0,0
18933919,M,67,2018-01-01T14:38:51Z,0,81.5,undefined,9509.6,441.9,379.8,undefined,4.5,3139,181.7,3.06,0.07,0.26,0,0,0
18933919,M,67,2018-01-18T06:39:23Z,0,81.5,undefined,11950.9,291.5,251,undefined,4.8,3510,81.3,3.45,0.14,0.37,0,0,0
18933919,M,67,2018-01-14T14:19:30Z,0,82.3,undefined,11678.7,288.4,245.5,undefined,6.1,3353,102.2,3.58,0.29,0.54,0,0,0
18933919,M,67,2017-11-01T14:32:58Z,0,82.5,undefined,10364.1,238.7,235.7,undefined,6.3,2877,0,3.62,0.25,0.5,0,0,0
18933919,M,67,2018-05-01T06:12:21Z,0,83.4,15,7830.2,427.2,418,161,3.8,2863,3,2.76,0.06,0.25,141.7,78.6,8.87
18933919,M,67,2018-04-20T14:55:51Z,0,80.5,29,8793.8,678.2,655,178,4.6,2625,22,3.36,0.07,0.27,168.2,85.06,9.22
18933919,M,67,2017-10-18T08:50:11Z,816.2,83.1,undefined,9873.7,240.1,235.9,undefined,6.7,2736,3.6,3.69,0.31,0.56,0,0,0
18933919,M,67,2018-04-15T13:18:29Z,0,81.5,23,3452.9,699.2,639.6,179,4.2,1081,66,3.25,0.07,0.26,154.54,48.16,6.94
18933919,M,67,2018-04-23T09:06:48Z,0,84.5,24,8996,699.8,674.6,159,5.8,2521,26,3.6,0.09,0.3,145.05,44.63,6.68
18933919,M,67,2018-04-27T08:41:14Z,0,84.4,21,8827.7,726.4,693,165,5.4,2605,24,3.4,0.03,0.18,154.24,55.82,7.47
18933919,M,67,2018-01-11T05:30:50Z,0,80.5,undefined,11927.6,418.3,235.3,undefined,4.5,4000,326.3,3.04,0.15,0.39,0,0,0
18933919,M,67,2018-01-30T18:03:46Z,0,82,undefined,14015.4,424.9,235.4,undefined,5.5,3903,328.7,3.69,0.2,0.45,0,0,0
18933919,M,67,2018-05-28T08:25:29Z,0,83.1,21,15386.9,583.4,516.4,167,5.3,4275,66,3.61,0.04,0.21,157.65,10.41,3.23
18933919,M,67,2017-12-16T10:05:11Z,0,83.6,undefined,11576.3,287,251,undefined,8.5,3192,51.7,3.67,0.2,0.45,0,0,0
18933919,M,67,2018-06-05T04:05:45Z,0,81.8,19,8986.9,573.8,467.8,undefined,4.5,2894,121,3.15,0.12,0.35,0,0,0
18933919,M,67,2017-11-16T08:57:17Z,748.4,82.9,undefined,9050.5,238.8,236,undefined,6.8,2478,2.1,3.55,0.36,0.6,0,0,0
18933919,M,67,2018-01-06T14:49:23Z,0,81.2,undefined,19568.6,440.9,235,undefined,5.1,6282,600.1,3.17,0.2,0.45,0,0,0
18933919,M,67,2018-01-04T15:10:29Z,0,81.9,undefined,14548.6,424.9,235.4,undefined,6.7,4415,103.9,3.32,0.04,0.21,0,0,0
18933919,M,67,2017-10-15T11:36:53Z,883.4,64.1,undefined,5230.1,2426,1675.4,undefined,3.7,3615,822.7,1.52,0.12,0.35,0,0,0
18933919,M,67,2018-01-23T16:19:04Z,0,81.8,undefined,13001.5,296.9,251,undefined,6.5,3544,109.9,3.69,0.08,0.29,0,0,0
18933919,M,67,2017-10-26T15:34:09Z,0,82.4,undefined,11955,418,235.3,undefined,8.7,3381,71.4,3.6,0.23,0.48,0,0,0
18933919,M,67,2018-02-02T06:01:08Z,0,81.3,undefined,12369.3,417.6,235.4,undefined,4.5,3962,317.2,3.19,0.14,0.37,0,0,0
18933919,M,67,2018-05-11T06:16:57Z,0,84.1,16,11182.3,622.2,580.2,168,5.3,3091,40,3.68,0.17,0.41,152.86,59.38,7.71
18933919,M,67,2018-05-20T09:00:22Z,0,84.5,20,10765,613.2,575.6,174,5.2,2932,37,3.71,0.17,0.41,152.09,42.2,6.5
