average_cadence;average_heartrate;average_speed;average_temp;calories;distance;max_heartrate;max_speed;moving_time;total_elevation_gain
85.3;148.6;3.484;21;641;10008.6;158;4.4;2873;15
81.3;125.9;2.906;19;275;5013.7;156;5.1;1725;103
84.3;147.9;3.519;14;627;10009;166;4.9;2844;6
80.8;129;2.875;19;563;10034.1;160;4.7;3490;188
0;138.7;3.231;16;617;10381.4;153;11.4;3213;190
85.6;145.3;3.513;12;653;10008.4;154;4.2;2849;8
83.4;136.4;3.079;19;659;9930.9;160;5.1;3225;193
83.7;140.6;3.103;20;666;9999.2;167;4.7;3222;188
85.7;146;3.51;18;671;10011.8;160;4.4;2852;6
79.6;149.1;2.633;10;1319;16303;173;6.2;6191;1015
86.9;170.1;3.086;17;734;9134;246;9.2;2960;344
88.7;0;3.78;10;743;11012;0;4.8;2913;101
0;136.3;2.977;23;620;9865.5;162;4.6;3314;184
83.2;130.6;2.953;14;594;10007.5;145;4.4;3389;194
84.9;148.9;3.588;18;633;10011;166;5;2790;13
88.5;152.3;3.793;16;548;10479;238;5.2;2763;131
90.3;163.2;4.001;13;858;14235;248;5.8;3558;129
81.8;134.4;3.058;19;586;9980.1;154;5.3;3264;187
84.2;165.8;2.832;18;1369;18230;248;6.6;6437;1028
83.4;160.3;2.507;19;1502;19895;251;6;7937;1203
90.9;159.9;3.984;13;1056;17807;246;6.1;4470;82
82;154.1;2.733;16;1437;19070;223;5.9;6977;1200
89.8;162.5;3.82;11;770;12714;235;7.1;3328;164
0;148.1;3.704;21;317;5066.8;159;6.4;1368;2
87.1;154.7;3.019;16;656;9497;215;6.4;3146;526
81.6;129.3;2.979;17;546;9892.5;163;5.1;3321;187
81.4;124.7;2.96;23;281;5082.2;163;4;1717;31
80;156.6;3.052;26;769;9858.8;179;5.7;3230;295
81.7;133.2;2.976;22;563;9857;158;6.5;3312;186.7
82.9;135.2;3.06;21;455;7074.9;156;4.9;2312;79
87.8;145.6;3.666;21;508;9648;228;5.5;2632;87
81.4;135.5;2.959;26;628;10088.3;156;5.3;3409;182
83.8;158.4;3.458;26;835;11410.8;176;5.1;3300;102
82.6;136.7;3.097;22;595;10008.8;152;5.7;3232;184
86.1;141.5;3.366;26;604;10007.9;158;4.7;2973;11
82.1;131.7;2.897;23;580;10015.4;152;4.6;3457;186
82.2;115.7;2.762;23;226;4530;163;4.4;1640;9
81.9;134;2.871;18;628;9910.8;160;4.7;3452;186
77.4;131.3;2.729;25;276;4110;151;5.5;1506;97
84.4;149;3.371;26;703;10011.2;161;4.7;2970;6
0;0;2.423;0;1014.6;9635;0;5.7;3976;93.8
0;170.8;2.149;17;2220;14304.9;199;5.1;6656;1001.4
90.4;166.9;3.727;12;895;13424;246;6.3;3602;19
0;166.3;2.213;17;2447;19175.1;198;7.6;8664;984.2
58.7;153;0.896;27;2807;15059.6;206;5.1;16816;1489
70.7;179.9;2.257;27;840;7049.6;200;6.8;3123;264
70.4;176.1;1.835;24;1307;9229.4;203;4.6;5031;555
82.8;0;2.197;27;879;12565;0;4.2;5720;648
88.8;0;2.981;28;528;7113;0;6.9;2386;49
81.3;139.8;2.979;22;668;9906.7;162;5.9;3326;184
84.2;0;2.422;23;1524;21783.8;0;4.2;8995;1346.2
86.6;0;2.757;29;1161;14980;0;5.9;5433;386
89.3;0;3.041;29;480;6221;0;6.6;2046;100
87.8;0;3.585;25;1370;17874;0;6;4986;498.5
88.7;0;3.163;26;554;7187;0;6.5;2272;107
59.6;0;4.206;23;1014;13766.6;0;12.4;3273;2168.6
83.7;0;2.131;27;734;10080;0;4.4;4731;674
86.4;172.1;2.934;27;3203;40491.8;186;5;13800;902
0;167.3;2.055;16;1933;16111.5;192;12.3;7840;901
92.8;0;3.493;15;653;8463;0;5.6;2423;69
89.8;0;3.451;25;1578;20352.2;0;5.2;5897;352.7
87.6;0;2.964;26;1809;23261;0;4.4;7848;795
89.2;0;3.372;28;1588;20263.4;0;4.6;6009;354.5
86.9;0;3.005;25;1074;13632;0;5.7;4537;289
85;0;2.754;25;785;10045;0;6.6;3648;271.8
85.2;0;2.492;24;453;6232;0;5;2501;284
85.5;0;2.741;24;478;4980;0;5.6;1817;19
89.4;0;3.119;18;624;8054;0;4.8;2582;52
84.3;0;2.229;20;655;9205;0;4.1;4129;430
90.2;0;2.945;23;803;10661;0;6.7;3620;63
92.2;0;3.584;25;1324;17205.1;0;7.9;4801;184
62.3;0;1.6;24;861;13031;0;5.5;8142;1640
90.5;0;3.277;22;759;9728.5;0;5.4;2969;85.6
86.9;0;2.661;24;2192;28308.2;0;3.8;10640;750
94.3;0;3.995;18;598;7739;0;6.7;1937;47
89.3;0;2.962;21;1073;13716;0;4.6;4630;319
91.6;0;3.248;23;827;10991;0;6.2;3384;28
90;0;3.435;22;753;9689;0;4.6;2821;120
86.6;0;2.911;19;1420;18695;0;5.9;6423;554
86.5;0;2.468;21;677;9170;0;3.8;3715;369
87.5;0;2.884;17;1813;23830;0;7.6;7729;1168
85.7;0;3.459;20;1265;17547.9;0;4.3;5073;988.8
89.8;0;2.961;18;549;7005;0;5;2366;43
