average_cadence;average_heartrate;average_speed;average_temp;calories;distance;max_heartrate;max_speed;moving_time;total_elevation_gain
92.6;0;3.612;0;817.7;10017;0;4.3;2773;34.9
92.2;0;3.653;0;1004.5;12305.8;0;5.1;3369;46.2
91.7;0;3.62;0;725.3;8890.9;0;4.9;2456;22.4
93.7;0;3.754;0;1435.7;17388;0;5.9;4632;111.6
91.3;0;3.62;0;1001.3;12221.1;0;5.4;3376;63.2
89;0;3.539;0;1260.3;15390.8;0;8.5;4349;75.9
93.2;0;3.723;0;1291.5;15800;0;6;4244;70.2
91.5;0;3.602;0;1142.6;13803.6;0;6.2;3832;122.5
92.2;0;3.581;0;1214.9;14526.9;0;6.3;4057;150.4
91.5;0;3.5;0;615.7;7520.6;0;4.7;2149;45.3
89.2;0;3.008;0;909.6;10986.1;0;4.7;3652;95.8
93.4;0;3.604;0;1284.6;15750.9;0;6.2;4370;43.2
92.2;0;3.689;0;819.5;10036.7;0;4.8;2721;43
89.4;0;3.364;0;1159.3;13157.6;0;4.9;3911;314
87.5;0;3.041;0;774.1;9497.7;0;4.1;3123;23.9
92;0;3.505;0;997;14175.9;0;5.8;4045;140.4
87.2;0;3.506;0;406.8;4989.3;0;6.1;1423;7.9
93.9;0;3.931;0;656.5;8054.9;0;5.2;2049;18.7
95.8;0;4.478;0;416.4;5091.2;0;5.8;1137;23
92;0;3.456;0;356.6;4368.9;0;4.8;1264;17.4
93.4;0;3.798;0;1048.2;12799.2;0;6.2;3370;50.2
92.1;0;3.311;0;325.2;3969.9;0;4.7;1199;27
91.1;0;3.435;0;1114.9;13387.8;0;4.6;3898;139.9
91.2;0;3.71;0;1393.9;17019;0;6.1;4587;112.7
92.4;0;3.931;0;840.2;10091.3;0;4.9;2567;98.3
93.2;0;3.712;0;1294.3;15832.8;0;6.1;4265;78.7
91.3;0;3.533;0;1173;14345.4;0;6.1;4060;45.8
90.8;0;3.577;0;1372;16738.5;0;6;4679;116.9
91.6;0;3.652;0;1117;13641.6;0;6.3;3735;86.6
89.8;0;3.532;0;1115.4;13645.5;0;5.8;3863;75.3
88.3;0;3.219;0;815.9;10008.4;0;4.3;3109;26.4
93.8;0;3.751;0;1466.8;17949.7;0;6.3;4785;84.9
90.5;0;3.46;0;1104.6;13038.9;0;5.2;3769;197.9
93.3;0;3.682;0;1397.7;17164;0;6.5;4662;19.1
92.6;0;3.866;0;729.2;8950;0;5.3;2315;13.2
87.3;0;2.473;0;754.2;9272.2;0;3.5;3750;0
91.8;0;3.577;0;1215;17063.8;0;5.6;4771;115.8
93.3;0;3.74;0;1095;15227.5;0;4.7;4071;29.6
94.2;0;3.82;0;1349.4;16523.9;0;5.9;4326;64.4
91.7;0;3.546;0;686.5;8388.7;0;5.9;2366;44.5
91.8;0;3.53;0;1129.9;13821.4;0;6.9;3915;50.7
89.9;0;3.301;0;640;7850.4;0;6.8;2378;18.5
91.1;0;3.637;0;1082.1;13051.7;0;6.8;3589;123.9
91.4;0;3.561;0;1198.7;14647.9;0;6.6;4113;91.1
97.1;0;4.359;0;1726.1;21083.5;0;5.6;4837;96.6
94.6;0;3.891;0;1723.5;21114.3;0;5.5;5427;75.2
90.5;0;3.505;0;1259.5;15386.5;0;6.6;4390;92.7
88.5;0;3.251;0;72.7;890.8;0;3.8;274;2.3
95.8;0;4.43;0;756.5;9288.7;0;5.3;2097;10.8
92.1;0;3.73;0;1105.7;13498.6;0;4.9;3619;90.2
91.5;0;3.64;0;1159;14145.1;0;5.1;3886;97.8
92.2;0;3.653;0;1302.4;15967.4;0;5.5;4371;44.6
91.2;0;3.465;0;1147.9;13436.3;0;6.7;3878;243
90.8;0;3.307;0;740.3;8940;0;6.7;2703;79.7
92.3;0;3.448;0;705.8;8526.4;0;6.1;2473;89.1
90.2;0;3.228;0;877.4;10562.6;0;6.8;3272;99.8
90;0;3.435;0;1005.7;12276.4;0;6;3574;82.4
93.1;0;3.704;0;1100.3;13145.2;0;6.1;3549;174.9
91.9;0;3.532;0;1323.8;16182.8;0;5.5;4582;101.1
90;0;3.457;0;1018.8;12440.2;0;4.3;3599;88.7
91.2;0;3.431;0;1154.1;13610;0;5;3967;221.1
92.7;0;3.615;0;1079.2;13020.5;0;5.4;3602;112.1
91.7;0;3.564;0;1111.1;13566.5;0;6.6;3807;95
93.5;0;3.865;0;1303.4;15992.6;0;5.4;4138;29.9
0;0;3.244;0;964;13270.4;0;6.1;4091;294.3
89.9;0;3.424;0;801.1;9566.6;0;5.3;2794;115
87.9;0;3.226;0;630.8;7755.4;0;3.6;2404;0
89.8;0;3.438;0;1153.2;14071.9;0;6.6;4093;95.4
94.7;0;3.763;0;1806;22140.5;0;5.9;5883;63.4
92.7;0;3.824;0;943.9;11564.7;0;4.6;3024;36.1
90.1;0;3.162;0;365.3;4477.7;0;4.1;1416;8.5
88.7;0;3.425;0;671.2;8251.8;0;3.9;2409;0
89.6;0;3.45;0;506;6221.2;0;4;1803;0
92.1;0;3.611;0;1644.2;20090.3;0;6;5564;104.7
91.4;0;3.475;0;868.6;10526.4;0;8;3029;94.1
93.8;0;3.805;0;1397.7;17059.7;0;6.2;4483;74.8
86.6;0;2.7;0;1067.4;13123;0;6.2;4860;0
91.4;0;3.591;0;1533.5;18725.3;0;6.9;5215;121
90.9;0;3.274;0;1101.2;13435;0;4.9;4104;95.9
91;0;3.441;0;891.7;10930.5;0;5.6;3177;35.3
94;0;3.713;0;1393.1;16998.6;0;5.7;4578;87.6
92.5;0;3.65;0;892.6;10953.3;0;4.7;3001;20.6
92.6;0;3.602;0;916.4;11018;0;5.6;3059;117.1
92.4;0;3.696;0;923.7;11106.6;0;5.4;3005;105.2
92.8;0;3.619;0;1075.9;13164.9;0;4.5;3638;49.3
92.1;0;3.639;0;1242.4;15161.2;0;6.9;4166;110
91.8;0;3.672;0;1152.2;14073.6;0;7.5;3833;88
88.6;0;3.291;0;650.7;7999.7;0;3.8;2431;0
87.9;0;2.809;0;469.1;5767.3;0;4;2053;0
94.4;0;3.885;0;1447.9;17749.6;0;5.2;4569;38.6
91.6;0;3.456;0;1112;13605.3;0;4.4;3937;49.4
91.9;0;3.39;0;1044.2;12423.6;0;4.7;3665;186.4
91.1;0;3.605;0;1416.7;17305.9;0;6.2;4801;111
92.8;0;3.675;0;1405.8;17152.8;0;6;4667;123.1
92.4;0;3.617;0;726.4;8691;0;4.5;2403;93.1
95.1;0;3.772;0;1817.3;22272;0;5.7;5905;64.3
92.5;0;3.566;0;1485.7;18130.6;0;5.8;5084;123.5
53.3;0;1.065;0;982.1;7687.3;0;2.5;7217;626
93.8;0;3.918;0;1369.2;16726.8;0;6.5;4269;102.5
94.4;0;3.883;0;2510.7;30781.2;0;5.7;7927;93.3
93;0;3.736;0;1829.9;22420.6;0;4.5;6001;80.4
93.6;0;3.587;0;1118.2;13661.6;0;4.8;3809;61.3
94.2;0;3.809;0;1420;17359.7;0;5;4557;58.5
92.4;0;3.661;0;1266.2;15430.8;0;6.2;4215;109.5
92.2;0;3.361;0;1194.5;14575.5;0;4.6;4337;102.5
88.5;0;3.476;0;340.4;4184.9;0;3.9;1204;0
94.8;0;3.702;0;2281.3;27948.8;0;5;7550;96.4
92.3;0;3.641;0;1498.7;18291.3;0;5.9;5024;121.7
92.1;0;3.583;0;1070.6;12921.5;0;5.1;3606;112.3
90.5;0;2.879;0;747.7;9180.3;0;6.3;2716;13.2
75.9;0;1.581;0;3172.6;23423.7;0;4.9;14814;2196.5
90.9;0;3.008;0;1099.6;12330.7;0;5.6;4099;336.6
92.7;0;3.582;0;983.1;11820.1;0;4.3;3300;104.8
91.4;0;3.774;0;983;11840.2;0;7.3;3137;140.1
91.8;0;3.443;0;1372.9;15639.7;0;5.5;4542;361.2
94.3;0;3.86;0;979.4;12017.6;0;4.8;3113;27.5
95.4;0;3.846;0;2384;29217.5;0;5.6;7597;93.8
90;0;3.532;0;1325.9;15416;0;5.3;4365;318.6
92.4;0;3.654;0;951.1;11674.4;0;5.8;3195;24.9
91.2;0;3.52;0;893.7;10972.4;0;5.7;3117;21.2
90.2;0;3.179;0;794.1;9751.2;0;5.9;3067;13
0;0;3.757;9;0;12252.9;0;7.3;3261;49.8
0;0;2.68;0;0;7856.5;0;4.8;2931;316.7
89.3;0;3.209;0;868.3;10628.5;0;5.9;3312;49.4
0;0;2.357;0;0;6164.7;0;7.5;2616;291.4
0;0;2.243;0;0;2824.1;0;4;1259;268.4
0;0;2.688;12;0;10663.9;0;9.8;3967;312.2
0;0;3.902;8;0;13451.5;0;9.4;3447;8
0;0;3.438;12;0;13465.4;0;6.3;3917;24.2
87.7;0;3.127;9;535;7435;0;9.5;2378;278
0;0;2.616;0;0;6396.6;0;5.8;2445;302.4
0;0;2.453;0;0;6019.4;0;5.4;2454;312.8
0;0;2.612;17;0;8086.2;0;5.7;3096;425.6
0;0;1.497;12;0;6707.2;0;7.6;4480;670.2
95.9;0;3.794;18;672;9926;0;6.4;2616;68
93.8;0;3.417;20;362;6141;0;6.2;1797;184
0;0;2.554;0;0;5940.5;0;6.4;2326;288
93.9;0;3.489;15;273;4672;0;5;1339;113
0;0;3.076;19;0;7176.8;0;7.5;2333;259.8
0;0;3.397;0;0;10055;0;4.3;2960;52.4
0;0;2.862;0;480;7266;0;5.5;2539;269.7
0;0;3.77;14;0;7819.1;0;8.4;2074;32
90.1;0;2.542;15;337;5471;0;6.6;2152;284
92.3;0;3.435;18;711;12127;0;5.2;3530;89
93;0;3.098;20;437;7362;0;5.4;2376;270
0;0;2.942;0;0;7378;0;4.5;2508;269.1
90.8;0;3.242;22;552;9657;0;4.8;2979;69
80.4;0;2.2;14;680;11821;0;7.2;5292;814
93.7;0;3.452;20;513;8750;0;5.7;2535;60
82.7;0;2.023;19;693;12280;0;6;6070;852
85.9;0;2.973;21;414;7516;0;6.4;2528;453.4
92.3;0;3.131;18;409;6950;0;6.3;2220;264
94.1;0;2.877;17;820;13932;0;7.4;4843;571
89.7;0;2.491;22;350;5789;0;7;2324;276
95.7;0;3.461;18;337;6002;0;7.5;1734;51
90.4;0;3.002;21;749;12794;0;4.5;4262;415
89.9;0;2.655;20;390;6695;0;4.2;2522;220
95.7;0;3.131;12;809;13756.5;0;9.7;4369;588
90.6;0;2.916;21;747;12780;0;5.9;4383;416
84.1;0;2.202;15;422;8005;0;6.2;3635;587
86.7;0;2.233;20;688;12538;0;8.2;5616;863
90.1;0;2.816;23;435;7424;0;5.6;2636;268
86.3;0;1.771;21;267;5566;0;4;3142;541
91.8;0;2.937;26;428;7343;0;4.8;2500;290
92.1;0;3.024;19;531;9030;0;6.5;2986;339
84.8;0;2.073;23;699;12668;0;6.8;6110;839
90;0;2.978;23;559;9491.5;0;5.9;3187;379
90.2;0;2.667;22;205;3475;0;5.7;1303;256
81.6;0;1.906;23;530;10006;0;4.5;5249;732
94.4;0;3.549;27;471;8077;0;5.6;2276;39
93.8;0;3.399;27;519;8906.5;0;5.5;2620;68
86.2;0;2.417;24;425;7152;0;7.4;2959;437
91.7;0;3.682;0;1508.2;18428.3;0;5.6;5005;113.4
0;0;0;0;0;0;0;0;241;0
89.4;0;2.605;17;362;5989;0;5.9;2299;302
80;0;2.185;23;681;12802;0;7.6;5860;848
89.9;0;2.504;27;337;5739;0;6.2;2292;252
85.6;0;2.266;25;394;7246;0;4.9;3197;399
88.5;0;2.551;25;536;9169;0;6.4;3594;480
91.4;0;2.921;20;438;7379;0;5;2526;262
90.4;0;2.903;27;437;7331;0;5.5;2525;257
93;0;3.746;22;490;8334;0;6.6;2225;60
84.8;0;2.083;26;712;13229;0;6.2;6351;834
89.9;0;2.95;27;439;7385;0;5;2503;248
82.3;0;2.132;27;1326;24511;0;5.2;11174;1358
91.9;0;2.597;24;346;5807;0;8.9;2236;273
91.8;0;3.438;27;502;8595;0;6;2500;62
0;0;3.476;25;0;9052;0;6.1;2604;131.4
0;0;3.356;25;0;13464.1;0;5.1;4012;10
93.5;0;3.344;23;502;8671.5;0;5.8;2593;63
90.2;0;2.623;22;693;11716;0;9.7;4467;614
89.4;0;2.952;32;386;6497;0;5;2201;42
89.2;0;3.233;16;480;8141;0;4.8;2518;69
91.2;0;3.139;19;399;6793;0;6.1;2164;69.6
0;0;1.777;24;0;10262.4;0;6;5775;808
92.4;0;3.472;20;524;8923;0;5.6;2570;75
91.2;0;3.279;19;518;8933;0;6.4;2724;47.6
0;0;3.29;27;944;13429;0;5;4082;0
95;0;3.59;20;586;10018.5;0;6.7;2791;77
88.6;0;2.865;21;615;10404;0;4.4;3631;334
93.7;0;3.651;20;536;9105;0;6.6;2494;60
83.9;0;2.268;19;195;3420;0;7;1508;277
91.4;0;3.637;22;380;6365;0;7.8;1750;36
91.5;0;3.247;24;380;6501;0;6;2002;64
88.4;0;3.068;22;465;8061.5;0;5.1;2628;43
89.7;0;2.862;16;480;8266;0;5.4;2888;243
92.3;0;3.292;23;463;7974;0;6.2;2422;38
93.2;0;3.745;15;567;9674;0;7.3;2583;60
93.6;0;3.432;14;449;7667;0;5.8;2234;52
93.5;0;3.532;11;500;8603.5;0;5.8;2436;48
89.7;0;2.927;17;437;7427;0;5.6;2537;264
93.9;0;3.485;23;554;9407;0;6.2;2699;72
93.5;0;3.478;26;511;8680;0;6.9;2496;73
92.2;0;3.534;17;564;9549;0;6.9;2702;52
94.8;0;3.456;11;468;8035;0;7.5;2325;38.4
92.7;0;3.433;16;443;7666;0;5.8;2233;84
94.7;0;3.643;16;574;9817;0;5.8;2695;91
94.7;0;3.437;14;567;9651;0;7;2808;71
94.8;0;3.618;13;537;9178;0;5.2;2537;47
90.5;0;2.921;13;516;8690;0;5.8;2975;318
93.3;0;3.233;11;606;10284;0;6.1;3181;302
84.9;0;2.601;17;443;7658;0;5;2944;364
95.7;0;3.832;12;522;8936;0;6.4;2332;61
90.5;0;2.989;15;516;8578;0;5.6;2870;309
92.4;0;3.602;10;421;7222;0;6.7;2005;66
90.6;0;2.931;17;682;11760;0;5.9;4012;290
92.6;0;3.483;14;865;14780;0;6;4243;109
90.6;0;2.734;12;405;6392;0;12.4;2338;284
94.7;0;3.691;19;601;10242;0;6.6;2775;68
93.9;0;3.488;17;568;9696;0;5.2;2780;114
90.4;0;3.077;14;830;14102;0;4.6;4583;74
94.7;0;3.78;14;508;8721;0;6.5;2307;35
87;0;3.09;14;460;8130;0;6.4;2631;93
91.1;0;3.065;13;435;7331;0;5;2392;247
92.6;0;3.521;15;581;10025;0;7.5;2847;76
92.2;0;3.346;11;609;10448;0;7.1;3123;66
95;0;3.769;14;505;8634;0;6.3;2291;62
91.2;0;3.287;14;658;11230;0;8;3416;150
94;0;3.611;14;639;10953;0;6;3033;83
94.5;0;3.769;10;584;10019;0;6.6;2658;38.8
86.4;0;3;16;526;8656;0;6.8;2885;473.6
91.1;0;3.31;13;674;11470;0;6;3465;93
93.8;0;3.541;14;741;12724;0;6.8;3593;85
92.2;0;3.41;10;554;9503;0;5.4;2787;63
93.2;0;3.46;14;623;10673;0;7.9;3085;75
91.6;0;3.116;13;464;7794;0;6.2;2501;308
88.1;0;2.929;17;446;7589.5;0;5.9;2591;292
91.6;0;3.227;16;811;13541;0;7.4;4196;380.4
92.5;0;3.469;12;515;8826;0;5.7;2544;64
88.9;0;2.865;14;628;10695;0;5.8;3733;440.2
77.8;0;2.084;13;537;9694;0;5.8;4652;667
92.2;0;3.441;17;763;12995;0;4.8;3776;144
90.1;0;2.943;15;462;7829;0;5.9;2660;299
91.8;0;2.958;13;738;12539;0;6.7;4239;413
95.5;0;3.81;16;582;10009;0;6.7;2627;96
89.2;0;2.725;15;1007;17132;0;5;6286;751
94.4;0;3.382;16;874;15000;0;5.7;4435;91
85.5;0;2.194;22;738;13393;0;4.8;6103;1028
90.8;0;3.371;21;580;9850.5;0;5.5;2922;83
90.8;0;3.303;17;560;9629;0;5.8;2915;79
88.4;0;2.677;18;349;5649;0;8.3;2110;286
93.3;0;3.555;12;645;11063;0;6.1;3112;87.6
90.7;0;3.188;15;638;10883;0;6;3414;204.4
93.4;0;3.514;19;472;8156;0;5.6;2321;85
87.6;0;2.664;18;652;11076;0;5;4157;459
92.9;0;3.313;13;521;8981;0;5.9;2711;75
92;0;3.51;21;527;9037;0;10.4;2575;64
88.4;0;2.662;22;409;6415;0;13.1;2410;290
88.4;0;2.519;20;476;8155;0;4.8;3237;358
94.3;0;3.388;17;337;5800;0;6.2;1712;61
92.2;0;3.509;22;608;10467;0;6.9;2983;55
86.2;0;2.51;18;350;5890;0;5.7;2347;286
89.6;0;2.572;18;332;5545;0;11.2;2156;275
91;0;3.259;18;533;9092;0;6.3;2790;55
92.6;0;3.291;22;538;9224;0;5.8;2803;74
86.2;0;2.52;26;418;7119;0;5.5;2825;371
89;0;2.823;19;512;8422;0;9.2;2983;318
91.8;0;3.371;21;596;10206;0;8.2;3028;85
92.2;0;3.258;22;538;9192;0;4.4;2821;92
86.8;0;2.784;17;448;7740;0;6.9;2780;401.6
94.1;0;3.875;11;579;9908;0;6.6;2557;52
90.1;0;3.349;16;564;9705;0;7.2;2898;147.2
90;0;2.678;23;379;6251;0;10.2;2334;282
88.3;0;2.581;27;420;7149;0;5.6;2770;370
92.3;0;3.403;26;455;7879;0;6.5;2315;77
93.9;0;3.658;22;474;8202;0;7.1;2242;77
85.3;0;2.521;25;298;5142;0;5.1;2040;281
92.7;0;3.462;23;475;8107;0;5.8;2342;64
87.8;0;3.042;24;507;8673;0;6.4;2851;325
90;0;2.895;19;425;7110;0;6.2;2456;335
85;0;2.552;22;354;5954;0;5;2333;274
88.5;0;2.848;18;461;7996;0;6.6;2808;374.6
83.2;0;2.264;24;303;5374;0;5;2374;301
85.9;0;2.474;21;469;8338;0;6.2;3370;407
83.2;0;2.298;27;273;4695;0;5;2043;307
90.6;0;3.498;20;619;10603;0;9.5;3031;63
82.7;0;2.319;26;278;4754;0;5.3;2050;273
90.8;0;3.39;16;510;8739;0;6.5;2578;107
83.5;0;2.423;24;297;5168;0;5.6;2133;291
83.8;0;2.346;22;477;8289;0;4;3534;427
90.4;0;3.219;22;588;10012;0;5.6;3110;81
91.1;0;3.472;19;476;8172;0;7.2;2354;41
84.3;0;2.476;18;416;7288;0;6.7;2944;380
91.5;0;3.303;18;696;11900;0;5.8;3603;87
84.6;0;2.467;19;497;8483;0;6;3438;446
84;0;2.38;19;319;5642;0;5.5;2371;293
83.8;0;2.509;18;515;8563;0;7.6;3413;445
83.8;0;2.457;30;353;6004;0;5.8;2444;272
84.7;0;2.319;22;332;5943;0;5.4;2563;267
86.4;0;2.6;25;481;8059;0;7.2;3100;391
91.6;0;3.23;22;419;7158;0;8.8;2216;35
87;0;2.735;29;413;7083;0;4;2590;221
88.3;0;2.725;27;511;8648;0;4.7;3173;220
89.6;0;3.048;27;495;8517;0;5.4;2794;96
91.6;0;3.097;28;461;7838;0;3.8;2531;58
89.3;0;3.197;25;821;14010;0;5.2;4382;97
90.4;0;3.548;25;111;2036.5;0;12.8;574;11
86.5;0;2.664;28;429;7386;0;3.8;2773;255
90.6;0;3.253;22;502;8589;0;6.6;2640;36
86.3;0;3.401;25;475;7976;0;8;2345;44
93.4;0;3.559;17;535;9155;0;5.8;2572;57
84.9;0;2.321;26;498;8637;0;5.1;3721;439
90.3;0;3.274;27;481;8230;0;5.6;2514;43
90.6;0;3.166;26;506;8673;0;5.4;2739;54
85.2;0;2.524;30;447;7730;0;3.9;3063;273
87.9;0;2.726;24;730;12423;0;5.3;4557;293
92.1;0;3.325;22;510;8711;0;7.2;2620;42
87.5;0;3.127;17;462;7915;0;6.1;2531;84
85.8;0;2.909;15;590;9925;0;5.4;3412;144.6
85.6;0;2.854;18;443;7555;0;6.8;2647;66
83.2;0;2.487;20;436;7613;0;5.6;3061;353
83.3;0;2.382;21;296;4980;0;5.9;2091;281
87.3;0;2.545;18;432;7233;0;6.7;2842;305
88.7;0;3.37;18;650;11032;0;12.6;3274;53
90.7;0;3.631;13;437;7458;0;9.2;2054;46
91.1;0;3.226;16;603;10353;0;5.6;3209;76
86.4;0;2.573;14;413;6965;0;5.6;2707;310
83.4;0;2.577;18;452;7851;0;5;3047;264.4
87;0;2.939;18;483;8246;0;5.8;2806;291
89.8;0;3.112;19;408;6880;0;6.1;2211;53
78.7;0;2.126;14;677;12862;0;5.4;6049;936.4
83.4;0;2.667;18;388;6661;0;4.8;2498;294
87.9;0;2.78;14;514;8847;0;5.5;3182;316
83.8;0;2.721;14;429;7310;0;10.2;2687;344
88.2;0;2.808;18;619;10673;0;4.6;3801;306
92.2;0;3.409;21;577;9907;0;5.2;2906;61
81.8;0;2.237;23;381;6381;0;5.7;2853;484
84.8;0;2.577;24;500;8575;0;9.4;3328;387.4
90.1;0;3.192;16;604;10297;0;6.2;3226;100
0;0;3.201;16;0;7600;0;7;2374;0
89.4;0;2.908;12;370;6115;0;6.6;2103;237
93.4;0;3.877;14;470;8045;0;6;2075;47
89.6;0;3.28;16;640;10976.5;0;5;3346;83
90.7;0;3.322;20;380;6512;0;5.3;1960;72
92.7;0;3.397;12;487;8319;0;6.5;2449;59
81.7;0;2.456;26;272;4787;0;6;1949;265
92.1;0;3.321;18;539;9240;0;6.2;2782;67
83.2;0;2.442;13;554;9637;0;5.7;3947;551
82.8;0;2.781;15;424;7005;0;8;2519;286
89.3;0;3.299;12;613;10537;0;7.1;3194;71
77.6;0;2.012;20;567;10664;0;5.8;5299;711
88.5;0;3.064;17;798;13550;0;7.2;4423;98
86.8;0;3.375;13;452;8018;0;7.9;2376;43
84.6;0;2.711;18;479;8098;0;6.3;2987;462.8
92.2;0;3.41;15;499;8567;0;6;2512;79
89.8;0;3.308;15;544;9304;0;5.2;2813;73
85.1;0;2.519;16;498;8447;0;5.9;3353;480
89.4;0;3.269;13;584;10002;0;5.7;3060;66
85.2;0;2.499;21;348;5992;0;8.2;2398;290
90.1;0;3.047;16;537;9148;0;6.1;3002;329
88.5;0;2.859;12;387;6388;0;13;2234;316
85.4;0;2.612;16;654;11288;0;4.6;4322;439
85.2;0;2.453;13;444;7673;0;5.2;3128;456
88.8;0;2.69;13;597;9738;0;5.8;3620;485
0;0;3.084;0;0;8681.9;0;5.8;2815;125.9
86.5;0;2.728;14;331;5715;0;6.3;2095;295
87.2;0;2.921;15;601;10155;0;5;3476;189
95.8;0;3.768;12;580;9939;0;5.5;2638;80
85.4;0;2.446;12;437;7498;0;7.4;3066;462
87.8;0;2.989;11;466;7820.5;0;5.9;2616;308
89.8;0;3.387;9;608;10403;0;7.3;3071;77
92.6;0;3.556;13;700;11963;0;6.3;3364;79
89.5;0;3.393;13;553;9401;0;6.4;2771;54
83.7;0;2.138;17;607;10721;0;5.8;5014;736
87.6;0;3.322;13;530;9116;0;7.2;2744;60
88.7;0;3.127;8;393;6373;0;12;2038;289
86.5;0;2.518;16;493;8156;0;4.8;3239;468
89.6;0;3.239;17;590;10058;0;5.6;3105;75
87.7;0;2.588;14;393;6216;0;5.9;2402;333
0;0;2.807;17;0;11065.5;0;4.5;3942;405.6
94.4;0;3.936;14;588;10088;0;8.6;2563;83
89.6;0;3.125;18;630;10839;0;7.2;3469;78
91.7;0;2.832;15;383;6165;0;5.8;2177;286
87.1;0;2.771;13;393;6607;0;4;2384;186
88.5;0;2.495;20;326;5482;0;4.6;2197;279
0;0;2.935;0;642;8611.6;0;6.1;2934;156.9
92.2;0;3.789;22;588;10165;0;9.8;2683;12
86.2;0;2.85;22;534;9045;0;5;3174;138
86.8;0;2.619;14;753;12955;0;5.2;4946;439
89.8;0;3.238;18;718;12298;0;6.1;3798;15
85.8;0;2.949;14;485;8240;0;5.2;2794;123
88.1;0;2.794;17;521;8918;0;4.8;3192;299
86.6;0;2.539;21;377;6301;0;6.8;2482;273
86.9;0;2.826;21;463;7819;0;4.2;2767;286
92;0;3.71;20;599;10339;0;6.4;2787;15
81.2;0;2.231;19;386;6737;0;5.2;3020;330
81.5;0;3.155;19;497;8465;0;5.4;2683;75
86.1;0;2.944;21;472;8045;0;5.6;2733;86
93.2;0;3.639;13;596;10177;0;6.9;2797;58
87.2;0;2.619;18;685;11790;0;4.7;4501;513
86.8;0;2.825;17;413;6975;0;4.2;2469;187
79.5;0;1.643;18;249;4780;0;5;2910;506
91.6;0;3.461;23;647;11121;0;6.6;3213;22
90.9;0;3.023;13;501;8451;0;5.7;2796;213
88.6;0;2.911;16;513;8805;0;6.1;3025;309
91.8;0;3.562;14;454;7773;0;6;2182;12
89.5;0;2.667;14;385;6216;0;6.1;2331;281
86.5;0;2.591;9;518;8868;0;4;3423;294
84.6;0;2.538;25;503;8588;0;4.6;3384;297
83.9;0;2.63;24;438;7583;0;5;2883;387
86.8;0;2.307;23;227;3988;0;5.9;1729;204
89.8;0;3.208;15;461;7885;0;6.8;2458;15
0;0;2.966;0;0;8575;0;6;2891;267.8
86.6;0;2.953;23;675;11520;0;6.8;3901;229
91.9;0;3.424;17;342;5865;0;6.1;1713;18
84.9;0;2.552;20;660;11786;0;5.8;4618;537
88.8;0;3.197;25;489;8430;0;7.1;2637;60
79.7;0;1.968;27;509;9564;0;4.6;4860;621
88.3;0;3.244;15;607;10346;0;6.2;3189;195
91;0;3.502;18;543;9279;0;5.8;2650;12
88.4;0;2.573;23;554;9133;0;5.3;3549;435
90.6;0;3.392;21;700;11958;0;5.8;3525;21
83.7;0;2.265;25;478;8184;0;6;3613;423
88.5;0;2.604;17;380;6148;0;5.8;2361;273
87;0;2.687;14;458;7581;0;6.6;2821;348
85.2;0;2.313;22;475;8231;0;7.1;3559;450
0;0;2.385;0;0;10682.7;0;6.2;4479;538.4
88.7;0;2.385;18;343;6038;0;7.1;2532;318
0;0;2.52;0;766;8800.3;0;5;3492;293.1
83.2;0;2.097;22;748;13290;0;6.2;6337;837
87;0;2.578;19;627;10490;0;8.6;4069;472
88.5;0;3.121;22;601;10316;0;6.3;3305;15
85.6;0;2.352;22;461;8242;0;8.4;3504;312
64.8;0;1.384;19;539;11069;0;4.2;7997;917
85.1;0;2.367;19;289;4922;0;5.4;2079;231
0;0;3.239;0;0;8797.7;0;13.8;2716;67.7
85.8;0;2.588;26;478;7924;0;6.8;3062;309
84.9;0;2.847;28;477;8028;0;4.9;2820;118
85.6;0;2.733;22;504;8536;0;4.6;3123;272
87.3;0;2.678;24;447;7579;0;4.2;2830;246
90.7;0;3.433;17;722;12333;0;6.4;3592;9
87.1;0;2.684;23;401;6769;0;5.2;2522;223
82.1;0;2.438;16;728;12350;0;6;5066;288
81;0;2.098;21;515;9351;0;10.6;4457;550
88.1;0;3.223;27;503;8545;0;6.1;2651;12
86.7;0;2.809;13;487;8368;0;4.8;2979;159
85.1;0;2.761;32;369;6242;0;4.5;2261;66
85.6;0;2.526;22;467;7768;0;6.8;3075;255
87.6;0;3.289;30;577;9879;0;4.6;3004;48
86.5;0;2.537;20;646;10966;0;6.4;4323;437
83.6;0;0.828;26;948;12930;0;11.6;15622;225
89.8;0;3.287;22;585;10013;0;4.4;3046;15
68.7;0;1.142;20;1746;32508;0;4.6;28458;2711
76.9;0;1.804;26;1185;22175;0;6.1;12293;1440
85.5;0;2.648;21;142;2460;0;6.4;929;156
0;0;3.267;29;0;10018.1;0;5.6;3066;37.6
87.8;0;3.006;28;485;8351;0;7.2;2778;45
86.4;0;2.778;28;450;7705;0;4;2774;198
0;0;2.447;0;0;7432.5;0;6.4;3037;271.3
87.1;0;2.542;26;589;10395;0;5;4089;405
84.9;0;2.364;29;569;10008;0;4.8;4233;345
88.7;0;3.373;27;474;8102;0;5.4;2402;3
85.1;0;2.764;28;334;5647;0;5.7;2043;132
84.9;0;2.244;25;561;9510;0;4.8;4238;447
84.2;0;2.425;24;969;16741;0;5;6903;633
86.3;0;2.566;23;660;11064;0;6.1;4311;420
